ID,name,Geography,History,Mathematics,Literature,Computer Science,Biology,Statistics,Physics,Chemistry,Medicine,Economics,Philosophy,Psychology,Music,Cinema,Television,Sport
Q100,Boston,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1000,Gabon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1000056,Sušice,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1000073,Pelhřimov,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10001,Deventer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1000104,Kikuchi Kan Prize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1000128,The Bohemian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10002,Enschede,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1000257,National Aquarium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q100026,General Dynamics F-16 Fighting Falcon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q100041,Carpi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q100047,Commodore Amiga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1000549,Bud Thackery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10006,Hengelo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1000642,Summit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q100065,Mirandola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1000662,Stamford,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1000764,The Buddenbrooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Q1000817,Leiderdorp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1001,Mahatma Gandhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1001114,Buddy Baker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10014,Kampen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10016,Oldenzaal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q100188,Cluj-Napoca,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1001994,Buffalo Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Q1002100,Miracle at St. Anna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10022,Steenwijkerland,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1002490,New Bern,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10027,Baarn,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1002826,Alnwick,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1003074,Glen Ridge,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1003082,Rahway,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q100338,Rudolf Lettinger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10035,De Bilt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1003717,Fred Murphy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1003730,Bulgarian Academy of Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1004,comics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10040,Rhenen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10041,Soest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10042,Stichtse Vecht,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1004433,Bulletproof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1004440,Kill the Irishman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1004531,Bullets Over Broadway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1004657,Bully,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1004666,Fars Province,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1004687,Shire of Buloke,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1005,The Gambia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10050,Nieuwegein,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1005343,Bundaberg Region,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10056,Zeist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1006,Guinea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1006398,Federal Chancellor of Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1006408,Sesimbra,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1006997,Carlo Di Palma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1007,Guinea-Bissau,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1007272,Gabrovo Province,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10073,Hulst,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1007345,Sergio Fantoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1007418,Cobourg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q100757,Erich Dunskus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1008,Ivory Coast,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q100811,Fidenza,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1008351,Rio Bravo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1008595,Vrchlabí,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10086,Mysore,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1008801,Adhurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1008912,Montecito,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1009,Cameroon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10090,Hindu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1009050,Renato Pozzetto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1009235,Pontefract,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1009253,Ipswich,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q100937,Fred Astaire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q100948,Rachel Carson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1009495,George O'Brien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1009708,Bunny Lake Is Missing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1009788,The Conversation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q100989,Hubert von Meyerinck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1010,Maribor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1010058,Simha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1010090,Giorgio Simonelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1010099,Get Carter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1010210,Redruth,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1010225,Meadville,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1010228,Carlisle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1010244,West Chester,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1010539,Red Bank,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1010550,Pargas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q101081,Provence,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1011,Cape Verde,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1011478,Darlinghurst,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1011509,Golden Globe Award for Best Motion Picture – Drama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1011547,Golden Globe Awards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1011564,Golden Globe Award for Best Actress in a Motion Picture – Musical or Comedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1012,Celje,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1012216,Gorillas in the Mist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1012251,Gorky Film Studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1012392,Middlebury,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1012397,Woodstock,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1012481,Whitehaven,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q101254,Newport,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1013,Lesotho,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10132,Rafael Nadal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1013254,Tenafly,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q101333,mechanical engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q101341,Lillehammer Municipality,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10135,LibreOffice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q101384,Henry I of England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1013909,Slaný,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q101393,Ernst Behmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1014,Liberia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q101401,bell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1014071,Hammond,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10146,Eurovision Song Contest 2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10148,Eurovision Song Contest 2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1015,Koper,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q10150,Eurovision Song Contest 2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
