ID,name
Q1000,Gabon
Q1004037,Frederik X of Denmark
Q1005,The Gambia
Q1005887,Fórum Hungary
Q100704907,Tiger 3
Q100795875,Blake Corum
Q1008,Ivory Coast
Q1009,Cameroon
Q1011,Cape Verde
Q101110072,2024 United States presidential election
Q1011547,Golden Globe Awards
Q1011564,Golden Globe Award for Best Actress in a Motion Picture – Musical or Comedy
Q1013,Lesotho
Q1014,Liberia
Q1016,Libya
Q1019,Madagascar
Q1020,Malawi
Q102139,Margrethe II of Denmark
Q102180036,Riz Test
Q102338984,Matt Rogers
Q102427,Academy Award for Best Picture
Q1025,Mauritania
Q1027,Mauritius
Q1027880,Grammy Award for Best Pop Duo/Group Performance
Q1027891,Grammy Award for Best Pop Vocal Album
Q1027904,Grammy Award for Song of the Year
Q1028,Morocco
Q102813,Yul Brynner
Q1028181,painter
Q1029,Mozambique
Q10294045,Hasty Pudding Woman of the Year
Q1029706,New International Encyclopedia
Q1030,Namibia
Q103157,Kurt Russell
Q1032,Niger
Q1033,Nigeria
Q103343,Jennifer Connelly
Q103360,Academy Award for Best Director
Q10349745,racing automobile driver
Q103578,Macaulay Culkin
Q1036,Uganda
Q103610353,The Serpent
Q103618,Academy Award for Best Actress
Q1037,Rwanda
Q103916,Academy Award for Best Actor
Q1041,Senegal
Q104144087,Waithe Test
Q104144383,Shukla Test
Q104144557,Feldman Test
Q104144947,Landau Test
Q1042,Seychelles
Q1043527,Multilateral Investment Guarantee Agency
Q1044427,Primetime Emmy Award
Q1045,Somalia
Q10479,"Catherine, Princess of Wales"
Q1048,Julius Caesar
Q104880809,Slow Horses
Q1049,Sudan
Q1049511,WhatsApp
Q105031,Home Alone
Q105142115,Harrison Ruffin Tyler
Q10520,David Beckham
Q105339055,honorary Fellow of the Royal College of Surgeons
Q1053574,executive producer
Q105447,Saturn Award
Q1054574,romance film
Q105549749,House of Gucci
Q105605250,X
Q1056362,death of Caylee Anthony
Q105640076,Topside Test
Q105641628,Coates Test
Q105700813,Russ Test
Q105701756,Tyrion Test
Q105702736,Tauriel Test
Q105708928,Raleigh Becket Test
Q105729789,Celia Imrie Test
Q105776216,reverse Bechdel Test
Q1058,Narendra Modi
Q105806948,Napoleon
Q105816692,BubbleGum Test
Q1058395,Times Square Ball
Q105913295,reverse Mako Mori test
Q105918665,reverse Waithe Test
Q105919675,reverse Landau Test
Q106111559,Babepedia
Q1061257,112
Q1062026,MTV Movie Award for Best Villain
Q106291,Academy Award for Best Supporting Actor
Q106298596,Salaar part 2
Q106301,Academy Award for Best Supporting Actress
Q10633,"Queen Elizabeth, The Queen Mother"
Q106378786,Lainey Wilson
Q106481,Alan Rickman
Q1065,United Nations
Q106514,River Phoenix
Q106727050,Metropolitan Museum of Art Tagging Vocabulary
Q107104310,The Tourist
Q1072120,Missile Technology Control Regime
Q107258,"Academy Award for Best Writing, Adapted Screenplay"
Q107287943,British Post Office scandal
Q10732476,art collector
Q10737,suicide
Q10738,Dwayne Johnson
Q107463278,Anant V Joshi
Q10762848,Officer of the Order of the British Empire
Q10798782,television actor
Q108,January
Q10800557,film actor
Q108106738,Olivia Dean
Q108456719,Wonka
Q10855226,Grand Cross of the Legion of Honour
Q10855271,Knight of the Legion of Honour
Q108660585,Tanner Mordecai
Q108671102,The Super Mario Bros. Movie
Q108760382,Poor Things
Q108839994,Oppenheimer
Q108913383,J. J. McCarthy
Q108941,Carrie Fisher
Q1097348,InterCom
Q109850709,Berlin
Q109901438,Reacher
Q110138,Top Gun
Q110156249,The Fall of the House of Usher
Q110367996,Wordle
Q110393266,Jaren Hall
Q110614173,Gyeongseong Creature
Q110617876,The Creator
Q110732481,Freelance
Q110842446,Meg 2: The Trench
Q110970104,Luke Littler
Q110999040,Russian invasion of Ukraine
Q111008873,The Killer
Q111270010,The Color Purple
Q111528279,The Boys in the Boat
Q111536390,Bo Melton
Q111629600,Rebel Moon — Part One: A Child of Fire
Q111670916,Leave the World Behind
Q1116777,Von Erich family
Q111812475,PDC World Darts Championship 2023
Q111907282,Maestro
Q111976143,Alison Oliver
Q112078051,Silent Night
Q112114745,The Holdovers
Q112162297,Winnie-the-Pooh: Blood and Honey
Q112243,Academy Award for Best Original Song
Q1124,Bill Clinton
Q112430183,Kalki 2898 AD
Q112536,Joey King
Q112581616,Bailey Zimmerman
Q11269,New Year's Eve
Q112761982,The Bear
Q112909147,Gran Turismo
Q1129487,Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Leading Role
Q11299,Manhattan
Q113043714,Ferrari
Q1130849,Liverpool F.C.
Q113114887,Monarch: Legacy of Monsters
Q113135527,Saltburn
Q1131356,Theatre World Award
Q113189277,NewJeans
Q1133638,Tournament of Roses Parade
Q113484942,The Mary Wallopers
Q113493289,Jawan
Q113563593,Garrett Nussmeier
Q113570499,My Life with the Walter Boys
Q11366,alternative rock
Q113883193,Wish
Q113989438,Kool-Aid McKinstry
Q11399,rock music
Q114,Kenya
Q11401,hip hop music
Q114049519,Jalen Milroe
Q114096220,"Russian annexation of Donetsk, Kherson, Luhansk and Zaporizhzhia oblasts"
Q114114977,Ice Spice
Q11424,film
Q114397511,No Hard Feelings
Q114589148,A Haunting in Venice
Q114818951,The Equalizer 3
Q114889877,Fighter
Q114901506,The Iron Claw
Q114977368,The Eras Tour
Q115,Ethiopia
Q1150306,Disney Legends
Q115053037,Godzilla Minus One
Q115115152,Priscilla
Q115160932,film acting
Q115367024,May December
Q115541,Dakota Fanning
Q115564437,ChatGPT
Q11571,Cristiano Ronaldo
