,Object,Relationship,Correct,Answer_1,Answer_2,Answer_3,Answer_4
0,Adelaide,unità amministrativa in cui è situato,Australia Meridionale,Illinois,Australia Meridionale,Nebraska,Colorado
1,Albania,relazione diplomatica,Francia,Messico,Francia,Canada,India
2,Angola,relazione diplomatica,Australia,Australia,Bangladesh,Canada,Danimarca
3,Australia,relazione diplomatica,Birmania,Ungheria,Kazakistan,Birmania,Nuova Zelanda
4,Australia Meridionale,Paese,Australia,Taiwan,Francia,Stati Uniti d'America,Australia
5,Baden-Württemberg,confina con,Baviera,Manitoba,Wisconsin,Florida,Baviera
6,Bangladesh,relazione diplomatica,Cuba,Cuba,Romania,Israele,Egitto
7,Belgio,relazione diplomatica,Canada,Germania,Israele,Bangladesh,Canada
8,Belgrado,Paese,Repubblica Socialista Federale di Jugoslavia,Repubblica Socialista Federale di Jugoslavia,Mosca,Impero russo,Unione Sovietica
9,Berna,lingua ufficiale,tedesco,Australia,Russia,Canada,tedesco
10,Bielorussia,relazione diplomatica,Argentina,Australia,Messico,Argentina,Russia
11,Bielorussia,relazione diplomatica,Cuba,Australia,Russia,Cuba,Messico
12,Bielorussia,relazione diplomatica,Paesi Bassi,Russia,Paesi Bassi,Messico,Australia
13,Bologna,Paese,Italia,Stati Uniti d'America,Italia,Canada,Francia
14,Brasile,Paese,Brasile,Victoria,Doubs,Brasile,Partito Conservatore
15,Brasile,relazione diplomatica,Repubblica Ceca,Uruguay,Arabia Saudita,Francia,Repubblica Ceca
16,Budapest,città gemellata,Bangkok,San Pietroburgo,Bangkok,Buenos Aires,Mosca
17,Burkina Faso,Paese,Burkina Faso,Costa d'Avorio,Togo,Burkina Faso,Benin
18,California,sottodivisioni amministrative,San Francisco,Taiwan,San Francisco,Russia,Cina
19,Canada,relazione diplomatica,Namibia,Serbia,Regno Unito,Namibia,Canada
20,Cecoslovacchia,confina con,Germania Est,Francia,Germania Est,Italia,Cina
21,Cecoslovacchia,sostituito da,Slovacchia,Polonia,Slovacchia,Spagna,Ungheria
22,Cile,relazione diplomatica,El Salvador,El Salvador,Giappone,Canada,Iran
23,Cina,relazione diplomatica,Croazia,Kazakistan,Ungheria,Croazia,Vietnam
24,Cina,relazione diplomatica,Nigeria,Nigeria,Vietnam,Ungheria,Kazakistan
25,Corea del Nord,relazione diplomatica,Vietnam,Messico,Israele,Grecia,Vietnam
26,Costa Rica,relazione diplomatica,Uruguay,Cina,India,Uruguay,Bangladesh
27,Croazia,relazione diplomatica,Messico,India,Russia,Canada,Messico
28,Croazia,relazione diplomatica,Taiwan,Russia,Taiwan,Canada,India
29,Cuba,relazione diplomatica,Germania,Australia,Israele,Stati Uniti d'America,Germania
30,Danimarca,capitale,Copenaghen,Madrid,Atene,Copenaghen,Mosca
31,Ecuador,confina con,Perù,Serbia,Russia,Israele,Perù
