head,rel,tail
Q122921105,P495,Q668
Q122921105,P364,Q1568
Q122921105,P462,Q22006653
Q116003774,P641,Q131471
Q316997,P106,Q1930187
Q316997,P106,Q4610556
Q316997,P106,Q947873
Q316997,P106,Q36180
Q316997,P106,Q33999
Q316997,P27,Q30
Q316997,P19,Q11299
Q316997,P69,Q49112
Q316997,P551,Q1384
Q316997,P551,Q881
Q316997,P166,Q123737
Q316997,P166,Q838121
Q316997,P101,Q1930187
Q316997,P103,Q7976
Q316997,P103,Q1860
Q316997,P1412,Q1860
Q316997,P6886,Q1860
Q316997,P1050,Q132971
Q2014922,P166,Q838121
Q2014922,P166,Q1044427
Q2014922,P27,Q30
Q2014922,P106,Q947873
Q2014922,P106,Q131524
Q2014922,P106,Q512314
Q2014922,P106,Q2722764
Q2014922,P106,Q578109
Q2014922,P551,Q60
Q2014922,P1050,Q84263196
Q211939,P1343,Q16082057
Q712592,P106,Q488205
Q712592,P106,Q855091
Q712592,P106,Q183945
Q712592,P106,Q2259451
Q712592,P106,Q177220
Q712592,P106,Q36834
Q712592,P106,Q10798782
Q712592,P106,Q10800557
Q712592,P19,Q17042
Q712592,P463,Q47871
Q712592,P27,Q30
Q712592,P1303,Q6607
Q712592,P1303,Q5994
Q712592,P1303,Q51290
Q712592,P1303,Q133163
Q712592,P1303,Q17172850
Q712592,P136,Q11399
Q712592,P136,Q11366
Q712592,P136,Q3071
Q712592,P136,Q187760
Q712592,P264,Q645889
Q712592,P1412,Q1860
Q712592,P1343,Q67311526
Q635,P106,Q116
Q635,P1196,Q10737
Q635,P1412,Q397
Q635,P1343,Q4173137
Q635,P1343,Q602358
Q635,P1343,Q19180675
Q635,P1343,Q67311526
Q635,P1343,Q3181656
Q635,P1343,Q106727050
Q635,P1343,Q20078554
Q635,P1343,Q4532138
Q635,P1343,Q867541
Q635,P1343,Q19085957
Q635,P1343,Q1029706
Q635,P1343,Q16082057
Q122341144,P495,Q668
Q122341144,P364,Q1568
Q122341144,P136,Q859369
Q122341144,P462,Q22006653
Q5364665,P27,Q30
Q5364665,P106,Q177220
Q5364665,P106,Q33999
Q5364665,P106,Q753110
Q5364665,P19,Q65
Q5364665,P264,Q202585
Q5364665,P1303,Q17172850
Q5364665,P136,Q83440
Q5364665,P136,Q193355
Q5364665,P1412,Q1860
Q5364665,P103,Q1860
Q5364665,P6886,Q1860
Q303,P27,Q30
Q303,P20,Q16563
Q303,P26,Q234773
Q303,P106,Q10800557
Q303,P106,Q177220
Q303,P106,Q36834
Q303,P412,Q31687
Q303,P166,Q935843
Q303,P166,Q179191
Q303,P166,Q17985761
Q303,P166,Q17144
Q303,P166,Q41254
Q303,P136,Q11399
Q303,P136,Q9759
Q303,P136,Q180268
Q303,P136,Q45981
Q303,P136,Q484641
Q303,P136,Q37073
Q303,P136,Q7749
Q303,P136,Q83440
Q303,P1412,Q1860
Q303,P1303,Q6607
Q303,P1303,Q5994
Q303,P1303,Q17172850
Q303,P1303,Q46185
Q303,P103,Q1860
Q303,P1196,Q3739104
Q303,P6275,Q891885
Q303,P1343,Q67311526
Q303,P509,Q12152
Q303,P7763,Q73555012
Q303,P6886,Q1860
Q303,P1050,Q186676
Q47871,P136,Q11366
Q47871,P136,Q3071
Q47871,P136,Q11399
Q47871,P495,Q30
Q47871,P264,Q645889
Q47871,P740,Q99
Q47871,P101,Q639669
Q47871,P166,Q179191
Q47871,P1411,Q1453643
Q47871,P1412,Q1860
Q132537,P103,Q1860
Q132537,P27,Q30
Q132537,P19,Q60
Q132537,P19,Q11299
Q132537,P463,Q123885
Q132537,P463,Q463303
Q132537,P69,Q13371
Q132537,P69,Q35794
Q132537,P166,Q10855271
Q132537,P1343,Q17378135
Q132537,P1343,Q17329836
Q132537,P1343,Q67311526
Q132537,P1412,Q1860
Q132537,P1412,Q150
Q132537,P1412,Q188
Q132537,P1412,Q397
Q132537,P1412,Q7411
Q132537,P551,Q60
Q132537,P108,Q35794
Q132537,P106,Q10732476
Q132537,P106,Q1622272
Q132537,P6886,Q1860
Q132537,P1196,Q3739104
Q484523,P106,Q10798782
Q484523,P106,Q10800557
Q484523,P106,Q855091
Q484523,P106,Q488205
Q484523,P106,Q33231
Q484523,P106,Q2526255
Q484523,P106,Q2405480
Q484523,P106,Q43845
Q484523,P106,Q33999
Q484523,P106,Q177220
Q484523,P106,Q183945
Q484523,P106,Q3282637
Q484523,P106,Q486748
Q484523,P106,Q4610556
Q484523,P106,Q3455803
Q484523,P106,Q1028181
Q484523,P106,Q36834
Q484523,P106,Q13235160
Q484523,P27,Q30
Q484523,P166,Q106291
Q484523,P166,Q1011547
Q484523,P1303,Q6607
Q484523,P1303,Q5994
Q484523,P1303,Q17172850
Q484523,P1303,Q46185
Q484523,P1303,Q52954
Q484523,P1412,Q1860
Q484523,P1411,Q106291
Q484523,P136,Q11366
Q484523,P136,Q83270
Q484523,P136,Q484641
Q484523,P264,Q38903
Q484523,P264,Q183412
Q484523,P264,Q203059
Q484523,P412,Q27914
Q484523,P551,Q65
Q484523,P1343,Q67311526
Q484523,P103,Q1860
Q484523,P7763,Q73555012
Q484523,P6886,Q1860
Q6176881,P27,Q30
Q6176881,P106,Q2252262
Q6176881,P19,Q23197
Q6176881,P136,Q11401
Q6176881,P1303,Q17172850
Q516342,P106,Q177220
Q516342,P19,Q16568
Q516342,P27,Q30
Q516342,P136,Q852767
Q516342,P1303,Q17172850
Q516342,P101,Q11399
Q516342,P101,Q83440
Q217280,P27,Q145
Q217280,P106,Q10800557
Q217280,P106,Q488205
Q217280,P106,Q177220
Q217280,P106,Q33999
Q217280,P106,Q639669
Q217280,P106,Q55960555
Q217280,P412,Q37137
Q217280,P412,Q186506
Q217280,P1576,Q83364
Q217280,P136,Q131272
Q217280,P136,Q850412
Q217280,P136,Q9759
Q217280,P136,Q8341
Q217280,P136,Q164444
Q217280,P136,Q45981
Q217280,P136,Q11401
Q217280,P136,Q37073
Q217280,P264,Q203059
Q217280,P101,Q11895763
Q217280,P1303,Q17172850
Q217280,P1343,Q67311526
Q217280,P1411,Q1453643
Q217280,P1412,Q1860
Q217280,P1050,Q132971
Q52440,P27,Q30
Q52440,P106,Q33999
Q52440,P106,Q753110
Q52440,P106,Q2252262
Q52440,P106,Q177220
Q52440,P106,Q2259451
Q52440,P106,Q10798782
Q52440,P106,Q10800557
Q52440,P136,Q11401
Q52440,P172,Q49085
Q52440,P264,Q654283
Q52440,P1303,Q17172850
Q52440,P1343,Q67311526
Q52440,P166,Q1738793
Q52440,P166,Q17985761
Q52440,P166,Q179191
Q52440,P1412,Q1860
Q52440,P103,Q1860
Q52440,P6886,Q1860
Q106378786,P106,Q639669
Q106378786,P106,Q177220
Q106378786,P27,Q30
Q106378786,P1303,Q6607
Q106378786,P136,Q83440
Q111670916,P136,Q52207399
Q111670916,P750,Q907311
Q111670916,P495,Q30
Q111670916,P364,Q1860
Q111670916,P462,Q22006653
Q111670916,P6216,Q50423863
Q152505,P106,Q486748
Q152505,P106,Q36834
Q152505,P106,Q1415090
Q152505,P20,Q60
Q152505,P27,Q30
Q152505,P69,Q13371
Q152505,P166,Q935843
Q152505,P166,Q1738793
Q152505,P166,Q14539974
Q152505,P166,Q41254
Q152505,P166,Q52382875
Q152505,P166,Q17985761
