entity,rel,objt,pageTitle_entity,views_entity
Q635,P22,Q39991,Cleopatra,158267
Q635,P21,Q6581072,Cleopatra,158267
Q635,P509,Q114953,Cleopatra,158267
Q635,P40,Q39589,Cleopatra,158267
Q635,P40,Q40058,Cleopatra,158267
Q635,P40,Q351538,Cleopatra,158267
Q635,P40,Q350246,Cleopatra,158267
Q635,P26,Q39938,Cleopatra,158267
Q635,P26,Q40017,Cleopatra,158267
Q635,P26,Q51673,Cleopatra,158267
Q635,P53,Q131976,Cleopatra,158267
Q635,P31,Q5,Cleopatra,158267
Q635,P910,Q8984461,Cleopatra,158267
Q635,P20,Q87,Cleopatra,158267
Q635,P19,Q87,Cleopatra,158267
Q635,P106,Q2304859,Cleopatra,158267
Q635,P106,Q116,Cleopatra,158267
Q635,P735,Q117828429,Cleopatra,158267
Q635,P1196,Q10737,Cleopatra,158267
Q635,P39,Q37110,Cleopatra,158267
Q635,P1412,Q107358,Cleopatra,158267
Q635,P1412,Q50868,Cleopatra,158267
Q635,P1412,Q28602,Cleopatra,158267
Q635,P1412,Q13366,Cleopatra,158267
Q635,P1412,Q397,Cleopatra,158267
Q635,P1412,Q33538,Cleopatra,158267
Q635,P1412,Q21661186,Cleopatra,158267
Q635,P1412,Q36461,Cleopatra,158267
Q635,P1412,Q25953,Cleopatra,158267
Q635,P1343,Q4173137,Cleopatra,158267
Q635,P1343,Q602358,Cleopatra,158267
Q635,P1343,Q19180675,Cleopatra,158267
Q635,P1343,Q30059240,Cleopatra,158267
Q635,P1343,Q46002746,Cleopatra,158267
Q635,P1343,Q67311526,Cleopatra,158267
Q635,P1343,Q3181656,Cleopatra,158267
Q635,P1343,Q106727050,Cleopatra,158267
Q635,P1343,Q442,Cleopatra,158267
Q635,P1343,Q114693785,Cleopatra,158267
Q635,P1343,Q20078554,Cleopatra,158267
Q635,P1343,Q4532138,Cleopatra,158267
Q635,P1343,Q867541,Cleopatra,158267
Q635,P1343,Q19085957,Cleopatra,158267
Q635,P1343,Q103843006,Cleopatra,158267
Q635,P1343,Q124737632,Cleopatra,158267
Q635,P1343,Q1138524,Cleopatra,158267
Q635,P1343,Q1029706,Cleopatra,158267
Q635,P1343,Q16082057,Cleopatra,158267
Q635,P27,Q11768,Cleopatra,158267
Q635,P172,Q2338367,Cleopatra,158267
Q635,P97,Q37110,Cleopatra,158267
Q635,P1441,Q24050047,Cleopatra,158267
Q635,P1441,Q40185,Cleopatra,158267
Q635,P361,Q60310502,Cleopatra,158267
Q635,P361,Q28684594,Cleopatra,158267
Q635,P119,Q87,Cleopatra,158267
Q635,P103,Q107358,Cleopatra,158267
Q635,P607,Q160387,Cleopatra,158267
Q635,P3205,Q79329858,Cleopatra,158267
Q635,P1344,Q107305091,Cleopatra,158267
Q635,P1299,Q52243133,Cleopatra,158267
Q635,P1299,Q119932958,Cleopatra,158267
Q635,P5008,Q6173448,Cleopatra,158267
Q635,P25,Q40242,Cleopatra,158267
Q635,P460,Q40020,Cleopatra,158267
Q635,P3373,Q18244320,Cleopatra,158267
Q635,P3373,Q40022,Cleopatra,158267
Q635,P3373,Q40013,Cleopatra,158267
Q635,P3373,Q39938,Cleopatra,158267
Q635,P3373,Q40017,Cleopatra,158267
Q635,P451,Q473280,Cleopatra,158267
Q635,P451,Q1048,Cleopatra,158267
Q635,P2348,Q105747718,Cleopatra,158267
Q635,P2348,Q428995,Cleopatra,158267
Q635,P2348,Q131976,Cleopatra,158267
Q635,P2348,Q1546344,Cleopatra,158267
Q123489953,P31,Q13406463,Deaths in 2024,151799
Q123489953,P155,Q114929139,Deaths in 2024,151799
Q123489953,P1754,Q123458357,Deaths in 2024,151799
Q123489953,P527,Q123651866,Deaths in 2024,151799
Q123489953,P527,Q124056127,Deaths in 2024,151799
Q123489953,P527,Q124607148,Deaths in 2024,151799
Q123489953,P527,Q125129496,Deaths in 2024,151799
Q123489953,P361,Q49619,Deaths in 2024,151799
Q123489953,P360,Q4,Deaths in 2024,151799
Q123489953,P360,Q5,Deaths in 2024,151799
Q123489953,P910,Q9725228,Deaths in 2024,151799
Q122341144,P31,Q11424,Dunki (film),209043
Q122341144,P495,Q668,Dunki (film),209043
Q122341144,P57,Q3418007,Dunki (film),209043
Q122341144,P364,Q1568,Dunki (film),209043
Q122341144,P136,Q859369,Dunki (film),209043
Q122341144,P161,Q9535,Dunki (film),209043
Q122341144,P161,Q7672815,Dunki (film),209043
Q122341144,P161,Q834338,Dunki (film),209043
Q122341144,P161,Q21063646,Dunki (film),209043
Q122341144,P161,Q123982904,Dunki (film),209043
Q122341144,P161,Q11457207,Dunki (film),209043
