entity,rel,objt,pageTitle_entity,views_entity,pageTitle_objt,views_objt
Q635,P22,Q39991,Cleopatra,158267,Ptolemy XII Auletes,264658
Q635,P21,Q6581072,Cleopatra,158267,Female (gender),2194
Q635,P509,Q114953,Cleopatra,158267,,
Q635,P40,Q39589,Cleopatra,158267,Caesarion,896824
Q635,P40,Q40058,Cleopatra,158267,Cleopatra Selene II,424153
Q635,P40,Q351538,Cleopatra,158267,Alexander Helios,246316
Q635,P40,Q350246,Cleopatra,158267,Ptolemy Philadelphus (son of Cleopatra),192545
Q635,P26,Q39938,Cleopatra,158267,Ptolemy XIII Theos Philopator,196596
Q635,P26,Q40017,Cleopatra,158267,Ptolemy XIV Philopator,51612
Q635,P26,Q51673,Cleopatra,158267,Mark Antony,1733409
Q635,P53,Q131976,Cleopatra,158267,Ptolemaic dynasty,947256
Q635,P31,Q5,Cleopatra,158267,Human,3666034
Q635,P910,Q8984461,Cleopatra,158267,Category:Cleopatra,2354
Q635,P20,Q87,Cleopatra,158267,Alexandria,1159074
Q635,P19,Q87,Cleopatra,158267,Alexandria,1159074
Q635,P106,Q2304859,Cleopatra,158267,Sovereign,90795
Q635,P106,Q116,Cleopatra,158267,Monarch,367839
Q635,P735,Q117828429,Cleopatra,158267,,
Q635,P1196,Q10737,Cleopatra,158267,Suicide,1610326
Q635,P39,Q37110,Cleopatra,158267,Pharaoh,805364
Q635,P1412,Q107358,Cleopatra,158267,Koine Greek,673990
Q635,P1412,Q50868,Cleopatra,158267,Egyptian language,704176
Q635,P1412,Q28602,Cleopatra,158267,Aramaic,932351
Q635,P1412,Q13366,Cleopatra,158267,Meroitic language,50717
Q635,P1412,Q397,Cleopatra,158267,Latin,1869258
Q635,P1412,Q33538,Cleopatra,158267,Syriac language,296894
Q635,P1412,Q21661186,Cleopatra,158267,Old Arabic,94359
Q635,P1412,Q36461,Cleopatra,158267,Median language,51007
Q635,P1412,Q25953,Cleopatra,158267,Parthian language,78059
Q635,P1343,Q4173137,Cleopatra,158267,,
Q635,P1343,Q602358,Cleopatra,158267,Brockhaus and Efron Encyclopedic Dictionary,11830
Q635,P1343,Q19180675,Cleopatra,158267,,
Q635,P1343,Q30059240,Cleopatra,158267,,
Q635,P1343,Q46002746,Cleopatra,158267,Dictionary of African Biography,995
Q635,P1343,Q67311526,Cleopatra,158267,,
Q635,P1343,Q3181656,Cleopatra,158267,The Nuttall Encyclopædia,9349
Q635,P1343,Q106727050,Cleopatra,158267,,
Q635,P1343,Q442,Cleopatra,158267,Natural History (Pliny),129410
Q635,P1343,Q114693785,Cleopatra,158267,,
Q635,P1343,Q20078554,Cleopatra,158267,,
Q635,P1343,Q4532138,Cleopatra,158267,Granat Encyclopedic Dictionary,1775
Q635,P1343,Q867541,Cleopatra,158267,Encyclopædia Britannica Eleventh Edition,178970
Q635,P1343,Q19085957,Cleopatra,158267,,
Q635,P1343,Q103843006,Cleopatra,158267,,
Q635,P1343,Q124737632,Cleopatra,158267,,
Q635,P1343,Q1138524,Cleopatra,158267,Realencyclopädie der classischen Altertumswissenschaft,11374
Q635,P1343,Q1029706,Cleopatra,158267,The New International Encyclopedia,4968
Q635,P1343,Q16082057,Cleopatra,158267,,
Q635,P27,Q11768,Cleopatra,158267,Ancient Egypt,2346520
Q635,P172,Q2338367,Cleopatra,158267,Egyptian Greeks,50484
Q635,P97,Q37110,Cleopatra,158267,Pharaoh,805364
Q635,P1441,Q24050047,Cleopatra,158267,Civilization VI,427120
Q635,P1441,Q40185,Cleopatra,158267,Divine Comedy,1107110
Q635,P361,Q60310502,Cleopatra,158267,,
Q635,P361,Q28684594,Cleopatra,158267,,
Q635,P119,Q87,Cleopatra,158267,Alexandria,1159074
Q635,P103,Q107358,Cleopatra,158267,Koine Greek,673990
Q635,P607,Q160387,Cleopatra,158267,Battle of Actium,332583
Q635,P3205,Q79329858,Cleopatra,158267,,
Q635,P1344,Q107305091,Cleopatra,158267,,
Q635,P1299,Q52243133,Cleopatra,158267,,
Q635,P1299,Q119932958,Cleopatra,158267,,
Q635,P5008,Q6173448,Cleopatra,158267,Wikipedia:Vital articles/Level/4,None
Q635,P25,Q40242,Cleopatra,158267,Cleopatra V,75616
Q635,P460,Q40020,Cleopatra,158267,Cleopatra VI,39717
Q635,P3373,Q18244320,Cleopatra,158267,,
Q635,P3373,Q40022,Cleopatra,158267,Berenice IV,71751
Q635,P3373,Q40013,Cleopatra,158267,Arsinoe IV,191724
Q635,P3373,Q39938,Cleopatra,158267,Ptolemy XIII Theos Philopator,196596
Q635,P3373,Q40017,Cleopatra,158267,Ptolemy XIV Philopator,51612
Q635,P451,Q473280,Cleopatra,158267,Gnaeus Pompeius Magnus (son of Pompey),26432
Q635,P451,Q1048,Cleopatra,158267,Julius Caesar,4325194
Q635,P2348,Q105747718,Cleopatra,158267,,
Q635,P2348,Q428995,Cleopatra,158267,Hellenistic period,1006694
Q635,P2348,Q131976,Cleopatra,158267,Ptolemaic dynasty,947256
Q635,P2348,Q1546344,Cleopatra,158267,,
Q123489953,P31,Q13406463,Deaths in 2024,151799,Wikipedia:Lists,11955
Q123489953,P155,Q114929139,Deaths in 2024,151799,Deaths in 2023,51947228
Q123489953,P1754,Q123458357,Deaths in 2024,151799,Category:Lists of deaths in 2024,505
Q123489953,P527,Q123651866,Deaths in 2024,151799,Deaths in January 2024,431
Q123489953,P527,Q124056127,Deaths in 2024,151799,Deaths in February 2024,86
Q123489953,P527,Q124607148,Deaths in 2024,151799,Deaths in March 2024,85
Q123489953,P527,Q125129496,Deaths in 2024,151799,Deaths in April 2024,86
Q123489953,P361,Q49619,Deaths in 2024,151799,2024,884571
Q123489953,P360,Q4,Deaths in 2024,151799,Death,1233582
Q123489953,P360,Q5,Deaths in 2024,151799,Human,3666034
Q123489953,P910,Q9725228,Deaths in 2024,151799,Category:2024 deaths,733
Q122341144,P31,Q11424,Dunki (film),209043,Film,2289880
Q122341144,P495,Q668,Dunki (film),209043,India,367139855
Q122341144,P57,Q3418007,Dunki (film),209043,Rajkumar Hirani,1379729
Q122341144,P364,Q1568,Dunki (film),209043,Hindi,2096887
Q122341144,P136,Q859369,Dunki (film),209043,Comedy drama,269493
Q122341144,P161,Q9535,Dunki (film),209043,Shah Rukh Khan,9804498
Q122341144,P161,Q7672815,Dunki (film),209043,Taapsee Pannu,1219891
Q122341144,P161,Q834338,Dunki (film),209043,Boman Irani,584894
Q122341144,P161,Q21063646,Dunki (film),209043,Vicky Kaushal,2884373
Q122341144,P161,Q123982904,Dunki (film),209043,Vikram Kochhar,33009
Q122341144,P161,Q11457207,Dunki (film),209043,Jyoti Subhash,105452
Q122341144,P161,Q16197598,Dunki (film),209043,Deven Bhojani,178372
Q122341144,P161,Q4802074,Dunki (film),209043,Arun Bali,126445
Q122341144,P161,Q4740212,Dunki (film),209043,Amardeep Jha,100396
Q122341144,P161,Q7359779,Dunki (film),209043,Rohitash Gaud,53898
Q122341144,P161,Q7929571,Dunki (film),209043,Vikram Singh (actor),36932
Q122341144,P161,Q5620246,Dunki (film),209043,Gurpreet Ghuggi,156255
Q122341144,P462,Q22006653,Dunki (film),209043,,
Q122341144,P7573,Q74434535,Dunki (film),209043,,
Q122341144,P8889,Q102108196,Dunki (film),209043,,
Q936394,P31,Q110643339,Pornhub,179229,,
Q936394,P31,Q90404711,Pornhub,179229,,
Q936394,P407,Q1860,Pornhub,179229,English language,7240470
Q936394,P407,Q7737,Pornhub,179229,Russian language,1570772
Q936394,P407,Q188,Pornhub,179229,German language,1918230
Q936394,P407,Q150,Pornhub,179229,French language,2210218
Q936394,P407,Q1321,Pornhub,179229,Spanish language,2371103
Q936394,P407,Q652,Pornhub,179229,Italian language,1138988
Q936394,P407,Q5146,Pornhub,179229,Portuguese language,1196060
Q936394,P407,Q809,Pornhub,179229,Polish language,744019
Q936394,P407,Q5287,Pornhub,179229,Japanese language,3789234
Q936394,P1687,P5246,Pornhub,179229,,
Q936394,P452,Q4373046,Pornhub,179229,,
Q936394,P495,Q16,Pornhub,179229,Canada,12409221
Q936394,P137,Q98000333,Pornhub,179229,,
Q936394,P159,Q340,Pornhub,179229,Montreal,2072377
Q936394,P17,Q16,Pornhub,179229,Canada,12409221
Q936394,P127,Q1250111,Pornhub,179229,Aylo,468769
Q936394,P1056,Q185529,Pornhub,179229,Pornographic film,1050021
Q936394,P9549,Q67199053,Pornhub,179229,,
Q113135527,P31,Q11424,Saltburn (film),334803,Film,2289880
Q113135527,P364,Q1860,Saltburn (film),334803,English language,7240470
Q113135527,P136,Q5778924,Saltburn (film),334803,,
Q113135527,P136,Q2484376,Saltburn (film),334803,Thriller film,369142
Q113135527,P136,Q130232,Saltburn (film),334803,Drama (film and television),644576
Q113135527,P272,Q84266729,Saltburn (film),334803,LuckyChap Entertainment,378103
Q113135527,P272,Q2856187,Saltburn (film),334803,MRC (company),143251
Q113135527,P272,Q179200,Saltburn (film),334803,Metro-Goldwyn-Mayer,1459159
