,Object,Relationship,Correct,Answer_1,Answer_2,Answer_3,Answer_4,Score_1,Score_2,Score_3,Score_sum
0,Anderson Cooper,campo di lavoro,giornalista,attivismo,giornalista,giornalismo,attività letteraria,-7.969439506530762,-7.985426902770996,-8.131977081298828,-24.086843490600586
1,Anderson Cooper,cognome,Cooper,Trump,Cooper,Harris,O’Neal,-7.584584712982178,-7.948734283447266,-8.045618057250977,-23.57893705368042
2,Anderson Cooper,condizione medica,dislessia,dislessia,malattia di Parkinson,fibromialgia,umano,-8.008448600769043,-8.013091087341309,-8.102688789367676,-24.124228477478027
3,Anderson Cooper,datore di lavoro,CNN,Columbia University,WWE,CNN,BBC,-8.002179145812988,-8.023665428161621,-8.184932708740234,-24.210777282714844
4,Anderson Cooper,istanza di,umano,José Benavidez Jr.,John Davison Rockefeller,White Horse,umano,-8.095959663391113,-8.328620910644531,-8.353670120239258,-24.778250694274902
5,Anderson Cooper,lingua madre,inglese,Slow Horses,tagalog,,inglese,-8.297935485839844,-8.327573776245117,,
6,Anderson Cooper,lingua madre,inglese americano,inglese americano,,tagalog,Slow Horses,-8.297935485839844,-8.327573776245117,,
7,Anderson Cooper,lingue di scrittura,inglese,inglese americano,Josh Heupel,Usman Nurmagomedov,inglese,-7.875730991363525,-8.308531761169434,-8.320120811462402,-24.50438356399536
8,Anderson Cooper,lingue parlate o scritte,inglese,inglese,tagalog,inglese americano,greco,-7.933837413787842,-8.11812686920166,-8.327532768249512,-24.379497051239014
9,Anderson Cooper,luogo di nascita,Manhattan,Queens,Washington,Cleveland,Manhattan,-7.823867321014404,-7.838052749633789,-7.903045654296875,-23.56496572494507
10,Anderson Cooper,occupazione,attore,prestigiatore,podcaster,attore,giornalista televisivo,-7.900897026062012,-8.021212577819824,-8.050390243530273,-23.97249984741211
11,Anderson Cooper,occupazione,conduttore televisivo,prestigiatore,giornalista televisivo,conduttore televisivo,podcaster,-7.900897026062012,-8.021212577819824,-8.050390243530273,-23.97249984741211
12,Anderson Cooper,occupazione,giornalista,giornalista televisivo,giornalista,podcaster,prestigiatore,-7.900897026062012,-8.021212577819824,-8.050390243530273,-23.97249984741211
13,Anderson Cooper,occupazione,modello,giornalista televisivo,modello,podcaster,prestigiatore,-7.900897026062012,-8.021212577819824,-8.050390243530273,-23.97249984741211
