head	rel	tail
Q365	P17	Q7318
Q586	P190	Q33935
Q148	P530	Q750
Q408	P530	Q183
Q837	P530	Q843
Q1297	P190	Q2256
Q155	P530	Q16
Q191	P530	Q865
Q1486	P190	Q1435
Q36	P47	Q218
Q219	P530	Q408
Q796	P530	Q928
Q43	P47	Q399
Q668	P530	Q40
Q30	P530	Q974
Q1524	P190	Q1492
Q1400	P47	Q1904
Q16	P530	Q851
Q96	P530	Q35
Q183	P150	Q1055
Q115	P47	Q1045
Q38	P30	Q46
Q733	P47	Q414
Q184	P530	Q55
Q39	P530	Q96
Q33	P530	Q43
Q865	P530	Q854
Q1899	P17	Q34266
Q17	P530	Q711
Q423	P530	Q858
Q1524	P190	Q1953
Q8678	P17	Q155
Q1449	P17	Q142
Q96	P530	Q33
Q21077	P17	Q30
Q948	P530	Q1028
Q1603	P47	Q1204
Q96	P47	Q774
Q7318	P47	Q35
Q36	P530	Q423
Q3130	P190	Q62
Q39	P47	Q40
Q408	P150	Q35715
Q20	P530	Q96
Q739	P530	Q38
Q843	P530	Q16957
Q30	P530	Q212
Q1055	P131	Q7318
Q18336315	P460	Q13501137
Q224	P530	Q408
Q258	P530	Q39
Q189	P530	Q668
Q865	P530	Q889
Q31	P30	Q46
Q1492	P190	Q174
Q941049	P460	Q677191
Q214	P47	Q28
Q1016	P530	Q224
Q8678	P190	Q9248
Q28	P47	Q40
Q1490	P190	Q84
Q956	P190	Q61
Q236	P17	Q236
Q822	P530	Q403
Q34647	P190	Q60
Q912	P530	Q16
Q84	P190	Q65
Q227	P30	Q46
Q475210	P460	Q10989273
Q916	P530	Q15180
Q403	P530	Q212
Q38	P530	Q869
Q96	P530	Q114
Q851	P530	Q241
Q1553	P47	Q1261
Q408	P530	Q298
Q865	P530	Q159
Q1731	P17	Q183
Q1033	P530	Q408
Q183	P530	Q865
Q219	P530	Q183
Q79	P530	Q1028
Q1524	P190	Q270
Q41	P530	Q865
Q408	P530	Q155
Q262	P17	Q262
Q987	P190	Q8684
Q1030	P530	Q423
Q1715	P190	Q41819
Q649	P17	Q159
Q406	P190	Q216
Q406	P190	Q270
Q1353	P36	Q987
Q668	P530	Q1008
Q183	P530	Q159
Q711	P530	Q16
Q837	P530	Q252
Q179248	P17	Q43
Q79	P530	Q399
Q23436	P131	Q22
Q20	P530	Q408
Q184	P530	Q213
Q1741	P190	Q70
Q174	P190	Q2887
Q212	P530	Q414
Q37	P47	Q184
Q79	P530	Q35
Q1953	P190	Q1486
Q148	P150	Q8686
Q830350	P407	Q150
Q980	P17	Q183
Q252	P530	Q145
Q212	P530	Q668
Q1348	P30	Q48
Q965	P530	Q159
Q854	P530	Q28
Q5465	P190	Q62
Q902	P530	Q878
Q213	P150	Q1085
Q12538	P17	Q142
Q227	P530	Q30
Q902	P530	Q40
Q406	P190	Q34370
Q189	P530	Q213
Q1533	P190	Q2807
Q142	P47	Q145
Q865	P530	Q774
Q38	P530	Q145
Q38	P530	Q29
Q854	P530	Q902
Q30	P530	Q837
Q754	P47	Q717
Q12626	P47	Q3105
Q408	P530	Q79
Q854	P530	Q668
Q406	P190	Q1563
Q2900529	P17	Q43287
Q656	P17	Q34266
Q38	P47	Q39
Q10989273	P460	Q13501137
Q22	P36	Q23436
Q85	P190	Q956
Q9129	P17	Q43
Q843	P530	Q1033
Q414	P37	Q1321
Q1773	P190	Q16557
Q884	P530	Q403
Q1761	P190	Q1781
Q230	P530	Q423
Q7521081	P460	Q18336315
Q668	P530	Q801
Q33935	P190	Q472
Q15180	P47	Q33946
Q39	P530	Q865
Q38	P530	Q865
Q804	P530	Q668
Q403	P530	Q17
Q9129	P17	Q38
Q15868042	P460	Q677191
Q865	P530	Q34
Q189	P530	Q96
Q213959	P17	Q30
Q8613	P276	Q8678
Q241	P530	Q252
Q948	P530	Q159
Q833	P530	Q419
Q15180	P530	Q36704
Q30	P530	Q33
Q213	P530	Q189
Q2807	P190	Q60
Q31	P17	Q31
Q30	P150	Q1183
Q12788459	P460	Q668885
Q96	P530	Q664
Q159	P530	Q783
Q408	P530	Q33
Q13501137	P460	Q7521081
Q159	P530	Q869
Q28	P530	Q34
Q1794	P190	Q1345
Q414	P530	Q801
Q96	P530	Q792
Q810	P530	Q183
Q20	P530	Q16
Q794	P530	Q750
Q1221	P47	Q1212
Q184	P530	Q214
Q62	P17	Q30
Q824	P47	Q1227
Q1492	P190	Q1524
Q270	P190	Q1718
Q796	P530	Q408
Q79	P530	Q403
Q38022	P17	Q30
Q15897419	P460	Q2093070
Q1563	P190	Q656
Q2093070	P460	Q2793400
Q902	P530	Q794
Q41	P530	Q114
Q954	P530	Q865
Q18125	P190	Q65
Q61	P17	Q30
Q884	P37	Q9176
Q1159009	P460	Q10989273
Q77	P530	Q17
Q230	P530	Q37
Q884	P530	Q712
Q865	P530	Q32
Q334	P530	Q884
Q34647	P190	Q220
Q38	P530	Q419
Q38	P530	Q423
Q142	P530	Q739
Q216	P190	Q649
Q159	P530	Q34
Q72	P190	Q62
Q2117521	P460	Q1159009
Q39	P530	Q79
Q8613	P155	Q8577
Q805	P530	Q833
Q3711	P190	Q1718
Q3711	P190	Q437
Q928	P530	Q854
Q236	P530	Q41
Q11218	P607	Q8663
Q1156	P190	Q1022
Q43	P530	Q34
Q948	P47	Q262
Q212	P530	Q881
Q225	P530	Q38
Q774	P47	Q96
Q794	P530	Q183
Q902	P530	Q334
Q8686	P190	Q34370
Q1397	P47	Q1904
Q1486	P190	Q85
Q145	P530	Q691
Q902	P530	Q851
Q29	P36	Q2807
Q270	P190	Q216
Q1899	P190	Q2280
Q30	P150	Q1397
Q754	P530	Q902
Q5	P460	Q15978631
Q863	P530	Q794
Q941049	P460	Q15868042
Q174193	P36	Q84
Q262	P530	Q212
Q265	P530	Q30
Q230	P530	Q155
Q34370	P190	Q365
Q472	P190	Q1757
Q21	P47	Q22
Q241	P530	Q184
Q656	P190	Q2280
Q229	P530	Q183
Q833	P530	Q114
Q334	P530	Q408
Q174193	P156	Q145
Q786	P47	Q717
Q17	P530	Q733
Q2117521	P460	Q10989273
Q71	P30	Q46
Q691	P530	Q902
Q796	P530	Q219
Q902	P530	Q813
Q24639	P190	Q23436
Q1214	P47	Q1212
Q142	P530	Q399
Q1370	P47	Q61
Q38	P530	Q222
Q863	P30	Q48
Q1223	P17	Q30
Q2145	P17	Q16
Q159	P530	Q145
Q1509	P47	Q1370
Q142	P530	Q79
Q472	P190	Q1953
Q884	P530	Q30
Q159	P530	Q183
Q423	P530	Q38
Q36	P530	Q227
Q889	P530	Q851
Q17	P17	Q17
Q159	P530	Q236
Q1904	P47	Q1384
Q1085	P190	Q16556
Q6602	P131	Q12717
Q403	P30	Q46
Q233	P530	Q668
Q35715	P36	Q5112
Q230	P530	Q212
Q1754	P190	Q1770
Q833	P530	Q115
Q17	P47	Q884
Q117	P530	Q865
Q334	P530	Q8646
Q217	P530	Q41
Q1016	P530	Q258
Q916	P37	Q5146
Q29999	P17	Q29999
Q843	P530	Q79
Q1028	P47	Q29
Q733	P47	Q155
Q750	P47	Q733
Q585	P190	Q3711
Q801	P530	Q691
Q230	P530	Q965
Q843	P530	Q36
Q490	P190	Q174
Q408	P530	Q783
Q114	P530	Q1016
Q902	P530	Q224
Q30	P150	Q1221
Q96	P530	Q20
Q155	P530	Q29
Q30	P530	Q232
Q1016	P530	Q403
Q39	P37	Q150
Q230	P47	Q399
Q36	P530	Q148
Q16	P530	Q41
Q408	P1344	Q8663
Q408	P530	Q766
Q43	P530	Q865
Q142	P530	Q298
Q408	P530	Q794
Q18336315	P460	Q830350
Q843	P530	Q222
Q884	P530	Q219
Q801	P530	Q419
Q225	P530	Q29
Q30	P530	Q805
Q43	P530	Q79
Q36	P17	Q36
Q212	P17	Q212
Q794	P17	Q794
Q790	P530	Q801
Q1397	P47	Q1415
Q1489	P190	Q174
Q8684	P190	Q987
Q115	P530	Q43
Q114	P47	Q1036
Q408	P150	Q36074
Q173	P17	Q30
Q843	P530	Q43
Q2634	P190	Q172
Q230	P530	Q800
Q843	P530	Q423
Q18336315	P460	Q475210
Q1489	P190	Q1486
Q3224	P17	Q408
Q36	P530	Q408
Q79	P530	Q858
Q79	P530	Q39
Q142	P530	Q218
Q423	P17	Q423
Q85	P190	Q2280
Q8663	P710	Q884
Q437	P17	Q215
Q2145	P190	Q656
Q495	P17	Q172579
Q217	P530	Q34
Q884	P530	Q212
Q783	P47	Q792
Q28	P530	Q36
Q1022	P17	Q43287
Q216	P190	Q585
Q334	P530	Q865
Q858	P47	Q801
Q2900529	P1365	Q1270623
